No.,Sex,type,Dam,Sire,D.O.B,DW,LW,BirthType,Slaughter.Sale.Date,Sold.as.Store.or.Breeding,Day,Weight,AgeMonths,DurationBeforeSlaughter,LambID,Year
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,1,55,0.0333333333333333,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,119,54,3.96666666666667,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,126,55,4.2,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,185,66,6.16666666666667,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,230,77,7.66666666666667,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,274,81,9.13333333333333,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,303,79,10.1,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,338,81,11.2666666666667,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,372,81,12.4,592,Lamb19,2016
437,M,pedigree,1092/13,590,2016-03-01,NA,NA,Twin,2017-10-14,NA,407,94,13.5666666666667,592,Lamb19,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,1,37,0.0333333333333333,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,119,36,3.96666666666667,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,126,37,4.2,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,163,39,5.43333333333333,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,218,48,7.26666666666667,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,230,48,7.66666666666667,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,274,51,9.13333333333333,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,275,51,9.16666666666667,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,303,49,10.1,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,338,55,11.2666666666667,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,372,56,12.4,NA,Lamb20,2016
438,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,NA,NA,407,62,13.5666666666667,NA,Lamb20,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,1,36,0.0333333333333333,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,119,36,3.96666666666667,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,126,36,4.2,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,163,40,5.43333333333333,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,218,47,7.26666666666667,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,275,52,9.16666666666667,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,303,52,10.1,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,338,55,11.2666666666667,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,372,57,12.4,536,Lamb21,2016
440,F,pedigree,2098/09,137,2016-03-01,NA,NA,Triplet,2017-08-19,Breeding shearing,407,65,13.5666666666667,536,Lamb21,2016
441,M,pedigree,4/06,137,2016-03-02,31.2,63,Twin,2016-12-07,Prime,1,50,0.0333333333333333,280,Lamb22,2016
441,M,pedigree,4/06,137,2016-03-02,31.2,63,Twin,2016-12-07,Prime,118,49,3.93333333333333,280,Lamb22,2016
441,M,pedigree,4/06,137,2016-03-02,31.2,63,Twin,2016-12-07,Prime,125,50,4.16666666666667,280,Lamb22,2016
441,M,pedigree,4/06,137,2016-03-02,31.2,63,Twin,2016-12-07,Prime,184,64,6.13333333333333,280,Lamb22,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,1,45,0.0333333333333333,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,117,43,3.9,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,124,45,4.13333333333333,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,161,49,5.36666666666667,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,216,61,7.2,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,273,62,9.1,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,301,64,10.0333333333333,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,336,67,11.2,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,370,69,12.3333333333333,NA,Lamb23,2016
443,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,NA,NA,405,77,13.5,NA,Lamb23,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,1,35,0.0333333333333333,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,124,35,4.13333333333333,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,161,37,5.36666666666667,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,216,50,7.2,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,273,50,9.1,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,301,51,10.0333333333333,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,336,55,11.2,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,370,57,12.3333333333333,1707,Lamb24,2016
444,F,pedigree,974/13,590,2016-03-03,NA,NA,Twin,2020-11-04,NA,405,63,13.5,1707,Lamb24,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,1,45,0.0333333333333333,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,117,45,3.9,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,124,45,4.13333333333333,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,161,50,5.36666666666667,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,216,58,7.2,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,273,60,9.1,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,301,61,10.0333333333333,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,336,65,11.2,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,370,65,12.3333333333333,NA,Lamb25,2016
446,F,pedigree,433/12,137,2016-03-03,NA,NA,Single,NA,NA,405,71,13.5,NA,Lamb25,2016
447,M,pedigree,1107/13,590,2016-03-04,24.1,NA,Twin,2016-09-19,Prime,1,41,0.0333333333333333,199,Lamb26,2016
447,M,pedigree,1107/13,590,2016-03-04,24.1,NA,Twin,2016-09-19,Prime,116,41,3.86666666666667,199,Lamb26,2016
447,M,pedigree,1107/13,590,2016-03-04,24.1,NA,Twin,2016-09-19,Prime,123,41,4.1,199,Lamb26,2016
447,M,pedigree,1107/13,590,2016-03-04,24.1,NA,Twin,2016-09-19,Prime,182,53,6.06666666666667,199,Lamb26,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,1,39,0.0333333333333333,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,116,39,3.86666666666667,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,123,39,4.1,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,160,43,5.33333333333333,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,215,54,7.16666666666667,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,272,57,9.06666666666667,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,300,57,10,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,335,61,11.1666666666667,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,369,62,12.3,NA,Lamb27,2016
448,F,pedigree,1107/13,590,2016-03-04,NA,NA,Twin,NA,NA,404,68,13.4666666666667,NA,Lamb27,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,1,43,0.0333333333333333,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,116,42,3.86666666666667,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,123,43,4.1,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,160,47,5.33333333333333,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,215,57,7.16666666666667,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,272,60,9.06666666666667,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,300,58,10,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,335,65,11.1666666666667,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,369,69,12.3,533,Lamb28,2016
450,F,pedigree,1802/13,137,2016-03-04,NA,NA,Single,2017-08-19,Breeding shearing,404,77,13.4666666666667,533,Lamb28,2016
451,M,pedigree,949/09,137,2016-03-05,19.7,NA,Twin,2016-08-24,Prime,1,39,0.0333333333333333,172,Lamb29,2016
451,M,pedigree,949/09,137,2016-03-05,19.7,NA,Twin,2016-08-24,Prime,115,48,3.83333333333333,172,Lamb29,2016
451,M,pedigree,949/09,137,2016-03-05,19.7,NA,Twin,2016-08-24,Prime,122,49,4.06666666666667,172,Lamb29,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,1,51,0.0333333333333333,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,115,50,3.83333333333333,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,122,51,4.06666666666667,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,181,62,6.03333333333333,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,226,68,7.53333333333333,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,270,75,9,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,299,74,9.96666666666667,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,334,77,11.133333333333301,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,368,78,12.2666666666667,485,Lamb30,2016
452,M,pedigree,949/09,137,2016-03-05,NA,NA,Twin,2017-07-03,NA,403,91,13.4333333333333,485,Lamb30,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,1,37,0.0333333333333333,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,115,37,3.83333333333333,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,122,37,4.06666666666667,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,159,40,5.3,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,214,50,7.13333333333333,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,271,50,9.03333333333333,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,299,48,9.96666666666667,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,334,52,11.133333333333301,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,368,52,12.2666666666667,532,Lamb31,2016
453,F,pedigree,1061/13,590,2016-03-05,NA,NA,Twin,2017-08-19,Breeding shearing,403,57,13.4333333333333,532,Lamb31,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,1,51,0.0333333333333333,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,115,50,3.83333333333333,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,122,51,4.06666666666667,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,181,64,6.03333333333333,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,226,69,7.53333333333333,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,270,74,9,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,299,72,9.96666666666667,373,Lamb32,2016
454,M,pedigree,1061/13,590,2016-03-05,NA,68,Twin,2017-03-13,Prime,334,72,11.133333333333301,373,Lamb32,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,1,44,0.0333333333333333,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,115,42,3.83333333333333,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,122,44,4.06666666666667,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,159,46,5.3,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,214,55,7.13333333333333,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,271,58,9.03333333333333,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,299,58,9.96666666666667,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,334,62,11.133333333333301,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,368,65,12.2666666666667,537,Lamb33,2016
455,F,pedigree,1140/13,590,2016-03-05,NA,NA,Single,2017-08-24,NA,403,73,13.4333333333333,537,Lamb33,2016
456,M,pedigree,675/12,137,2016-03-07,21.3,NA,Twin,2016-08-24,Prime,1,49,0.0333333333333333,170,Lamb34,2016
456,M,pedigree,675/12,137,2016-03-07,21.3,NA,Twin,2016-08-24,Prime,113,48,3.76666666666667,170,Lamb34,2016
456,M,pedigree,675/12,137,2016-03-07,21.3,NA,Twin,2016-08-24,Prime,120,49,4,170,Lamb34,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,1,40,0.0333333333333333,317,Lamb35,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,113,39,3.76666666666667,317,Lamb35,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,120,40,4,317,Lamb35,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,157,41,5.23333333333333,317,Lamb35,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,212,51,7.06666666666667,317,Lamb35,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,269,52,8.96666666666667,317,Lamb35,2016
457,F,pedigree,675/12,137,2016-03-07,NA,NA,Twin,2017-01-18,Breeding,297,51,9.9,317,Lamb35,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,1,46,0.0333333333333333,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,113,44,3.76666666666667,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,120,46,4,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,157,51,5.23333333333333,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,212,59,7.06666666666667,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,269,61,8.96666666666667,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,297,60,9.9,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,332,57,11.0666666666667,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,366,62,12.2,NA,Lamb36,2016
458,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,NA,NA,401,67,13.3666666666667,NA,Lamb36,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,1,43,0.0333333333333333,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,113,43,3.76666666666667,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,120,44,4,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,157,44,5.23333333333333,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,212,57,7.06666666666667,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,269,60,8.96666666666667,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,297,62,9.9,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,332,64,11.0666666666667,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,366,63,12.2,2361,Lamb37,2016
459,F,pedigree,1060/13,590,2016-03-07,NA,NA,Twin,2022-08-24,NA,401,71,13.3666666666667,2361,Lamb37,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,1,34,0.0333333333333333,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,113,33,3.76666666666667,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,120,34,4,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,157,39,5.23333333333333,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,212,49,7.06666666666667,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,269,50,8.96666666666667,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,297,50,9.9,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,332,52,11.0666666666667,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,366,55,12.2,530,Lamb38,2016
460,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,401,60,13.3666666666667,530,Lamb38,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,1,33,0.0333333333333333,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,120,33,4,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,157,37,5.23333333333333,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,212,49,7.06666666666667,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,269,51,8.96666666666667,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,297,51,9.9,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,332,53,11.0666666666667,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,366,55,12.2,NA,Lamb39,2016
461,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,NA,NA,401,65,13.3666666666667,NA,Lamb39,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,1,38,0.0333333333333333,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,120,38,4,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,157,43,5.23333333333333,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,212,55,7.06666666666667,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,269,59,8.96666666666667,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,297,56,9.9,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,332,63,11.0666666666667,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,366,64,12.2,530,Lamb40,2016
463,F,pedigree,1160/13,590,2016-03-07,NA,NA,Quadruplet,2017-08-19,Breeding shearing,401,73,13.3666666666667,530,Lamb40,2016
464,F,pedigree,2158/09,137,2016-03-08,NA,NA,Single,2016-10-11,Breeding,1,46,0.0333333333333333,217,Lamb41,2016
464,F,pedigree,2158/09,137,2016-03-08,NA,NA,Single,2016-10-11,Breeding,112,44,3.73333333333333,217,Lamb41,2016
464,F,pedigree,2158/09,137,2016-03-08,NA,NA,Single,2016-10-11,Breeding,119,46,3.96666666666667,217,Lamb41,2016
